Nest_ID,Día,Pro_On,Pro_Off,N_On,Month_Nest,Temp_On,Temp_Off,Pro_Nocturnal,Attenct_On
M_polyglottlos_SD293_05_YA_YB,2005-07-02,16.379310344827587,9.9,29,July,34.10406727144278,32.611666666666665,561.0,0.625
M_polyglottlos_SD293_05_YA_YB,2005-07-03,,,0,July,,,337.0,0.0
Mimus_polyglottos_SD12_06_AB_YY,2006-03-06,34.76470588235294,7.277777777777778,17,March,36.21923307233442,24.856111111111108,706.0,0.8277310924369747
Mimus_polyglottos_SD12_06_AB_YY,2006-03-07,37.9375,6.117647058823529,16,March,35.308726910885696,23.74388888888889,456.0,0.8622159090909091
Mimus_polyglottos_SD12_06_AB_YY,2006-03-08,28.095238095238095,6.409090909090909,21,March,36.085210021082474,25.654545454545453,517.0,0.8228730822873083
Mimus_polyglottos_SD12_06_AB_YY,2006-03-09,28.45,7.857142857142857,20,March,36.7867731350266,27.219545454545457,344.0,0.5317757009345795
Mimus_polyglottos_SD12_06_AB_YY,2006-03-10,25.56,9.44,25,March,36.94099498081714,28.533461538461538,558.0,0.7370242214532872
Mimus_polyglottos_SD12_06_AB_YY,2006-03-11,17.40740740740741,8.928571428571429,27,March,36.49268621421614,29.214285714285715,511.0,0.6629055007052186
Mimus_polyglottos_SD12_06_AB_YY,2006-03-12,13.46875,9.363636363636363,32,March,36.80875243496808,29.76794117647059,386.0,0.3865470852017937
Mimus_polyglottos_SD12_06_AB_YY,2006-03-13,11.102564102564102,7.75,39,March,36.02010417836147,29.086341463414634,467.0,0.5891156462585034
Mimus_polyglottos_SD12_06_AB_YY,2006-03-14,13.444444444444445,7.756756756756757,36,March,35.99079312288497,27.019459459459462,394.0,0.6360052562417872
Mimus_polyglottos_SD12_06_AB_YY,2006-03-15,11.44186046511628,5.454545454545454,43,March,35.82390042542254,25.30909090909091,693.0,0.6776859504132231
Mimus_polyglottos_SD12_06_AB_YY,2006-03-16,12.5,6.2926829268292686,40,March,36.08588874512857,27.849999999999998,690.0,0.6684491978609626
Mimus_polyglottos_SD12_06_AB_YY,2006-03-17,,,0,March,,,431.0,0.0
Mimus_polyglottos_SD30_06,2006-03-26,17.225806451612904,6.15625,31,March,32.3244362107119,25.276060606060607,340.5,0.5179437439379243
Mimus_polyglottos_SD30_06,2006-03-27,17.076923076923077,6.7894736842105265,39,March,31.81939788645387,25.153333333333336,224.0,0.577623590633131
Mimus_polyglottos_SD30_06,2006-03-28,11.432432432432432,8.692307692307692,37,March,33.450821516342174,27.310256410256407,310.0,0.5794520547945206
Mimus_polyglottos_SD30_06,2006-03-29,14.774193548387096,9.8125,31,March,33.627931993879805,28.0959375,569.0,0.604221635883905
Mimus_polyglottos_SD30_06,2006-03-30,14.193548387096774,10.71875,31,March,33.61459973252739,27.7159375,659.0,0.5858854860186418
Mimus_polyglottos_SD30_06,2006-03-31,13.84,16.923076923076923,25,March,32.528939853187744,27.685925925925925,413.5,0.4511082138200782
Mimus_polyglottos_SD30_06,2006-04-01,47.18181818181818,22.916666666666668,11,April,31.68248072266176,27.507499999999997,463.0,0.7828054298642534
Mimus_polyglottos_SD30_06,2006-04-02,,,0,April,,,606.0,0.0
M_polyglottlos_JU43_06,2006-06-10,29.181818181818183,10.0,22,June,36.88013176939712,34.52391304347826,573.0,0.7561837455830389
M_polyglottlos_JU43_06,2006-06-11,13.666666666666666,7.038461538461538,24,June,35.01797370245905,32.52384615384615,463.0,0.38006952491309387
M_polyglottlos_JU43_06,2006-06-12,16.097560975609756,4.904761904761905,41,June,33.33717174740126,30.61595238095238,565.0,0.7665505226480837
M_polyglottlos_JU43_06,2006-06-13,18.571428571428573,6.305555555555555,35,June,29.08771313184486,27.11388888888889,571.0,0.7471264367816092
M_polyglottlos_JU43_06,2006-06-14,20.894736842105264,5.7631578947368425,38,June,34.04441075538393,32.14410256410256,423.0,0.7861386138613862
M_polyglottlos_JU43_06,2006-06-15,32.61904761904762,9.272727272727273,21,June,34.11592130705637,32.34869565217391,349.5,0.7882623705408516
M_polyglottlos_JU43_06,2006-06-16,62.666666666666664,9.846153846153847,12,June,33.0355414609657,31.778823529411767,111.2,0.6266666666666667
M_polyglottlos_JU43_06,2006-06-17,,,0,June,,,374.0,0.0
M_Polyglottos___Jill_06,2006-04-28,15.588235294117647,8.371428571428572,34,April,36.29307674997239,31.26828571428571,631.0,0.6583850931677019
M_Polyglottos___Jill_06,2006-04-29,22.96551724137931,9.5,29,April,36.278867393110374,29.019000000000002,467.0,0.7077577045696068
M_Polyglottos___Jill_06,2006-04-30,17.392857142857142,9.96551724137931,28,April,35.17689237421452,28.166551724137932,334.5,0.6399474375821288
M_Polyglottos___MP1_06,2006-04-15,33.526315789473685,8.9,19,April,31.264256752911958,28.214999999999996,625.0,0.8177150192554558
M_Polyglottos___MP1_06,2006-04-16,107.83333333333333,23.428571428571427,6,April,31.95278055485303,28.139999999999997,356.5,0.9216524216524217
M_Polyglottos___MP1_06,2006-04-17,38.6875,10.235294117647058,16,April,29.93348379089108,27.017777777777777,341.0,0.45953971789161097
M_Polyglottos___MP1_06,2006-04-18,21.77777777777778,8.357142857142858,27,April,30.36519404699315,28.497142857142855,616.0,0.7223587223587223
M_Polyglottos___MP1_06,2006-04-19,37.0,10.277777777777779,17,April,32.32609085237628,30.660555555555554,625.0,0.8105670103092784
M_Polyglottos___MP1_06,2006-04-20,32.473684210526315,10.0,19,April,32.83040459654757,31.0685,628.0,0.7645600991325898
M_Polyglottos___MP1_06,2006-04-21,61.833333333333336,11.538461538461538,12,April,28.474276402634036,25.292307692307695,548.0,0.8558246828143022
M_Polyglottos___MP1_06,2006-04-22,15.235294117647058,9.142857142857142,34,April,29.497632367514857,27.517714285714288,557.0,0.6240963855421687
M_Polyglottos___MP1_06,2006-04-23,,,0,April,,,877.0,0.0
M_Polyglottos__ALS44_06_Control_BA_BB,2006-05-22,31.8,11.238095238095237,20,May,32.09132742616954,29.91761904761905,570.0,0.7491166077738516
M_Polyglottos__ALS44_06_Control_BA_BB,2006-05-23,28.227272727272727,10.391304347826088,22,May,34.05695953844946,31.49,581.0,0.7349112426035503
M_Polyglottos__ALS44_06_Control_BA_BB,2006-05-24,35.26315789473684,9.35,19,May,33.33728499430469,30.859499999999997,581.0,0.8072289156626506
