Nest_ID,Día,Month_Nest,Pro_On,Pro_Off,Pro_Nocturnal,N_On,Temp_On,Temp_Off,Ambient_On,Ambient_Off,Ambient_Daily,Rainfall_sum,RH_avg,Soil_avg,Temp60_avg,Temp2m_avg,Temp10m_avg,Dew_avg,First_Off_Time,Last_Off_End,Nocturnal_Start,First_Off_Time_Hour,Last_Off_End_Hour,Nocturnal_Start_Hour,Attenct_On
M_Polyglottos_GL53_06_AR_RPK,2006-04-30,April,11.208333333333334,5.877551020408164,306.9916666666667,48.0,30.511468319740953,28.284285714285716,22.51979489538157,22.419035645760136,22.35221073420239,0.0,57.20447989378883,21.868819632640793,21.06502819523147,20.108493334428317,20.193872327612187,11.00424543538367,2006-04-30 06:42:00,2006-04-30 20:28:00,2006-04-30 20:28:00,6.7,20.466666666666665,20.466666666666665,0.37361543536383524
M_Polyglottos_GL53_06_AR_RPK,2006-05-01,May,15.805555555555555,7.135135135135135,303.4916666666667,36.0,29.949333891790136,27.122162162162162,23.544280050688457,23.37486022011022,23.27821262574506,0.0,47.32960325203253,22.457269593495955,21.061032195121978,20.255304065040683,21.041981138211405,7.906665691056935,2006-05-01 06:35:00,2006-05-01 20:28:00,2006-05-01 20:28:00,6.583333333333333,20.466666666666665,20.466666666666665,0.39514346230859154
M_Polyglottos_GL53_06_AR_RPK,2006-05-02,May,25.32,7.730769230769231,302.9916666666667,25.0,29.538155880589912,26.61192307692307,22.952985385706373,22.796396343287178,22.69798262725478,0.0,48.68010200951067,22.173269289768392,20.70629237613134,19.906854195428767,20.647192629237637,8.813735427212782,2006-05-02 06:36:00,2006-05-02 20:30:00,2006-05-02 20:30:00,6.6,20.5,20.5,0.439588421162282
M_Polyglottos_GL53_06_AR_RPK,2006-05-03,May,38.94117647058823,9.777777777777779,300.9916666666667,17.0,30.33380184030942,27.015,22.305455845611768,22.097283599887767,22.05994400796278,0.0,60.139659190146986,21.898612263295206,22.477741995278603,21.48222764791059,21.962490858588442,12.672665990568454,2006-05-03 06:33:00,2006-05-03 20:31:00,2006-05-03 20:31:00,6.55,20.516666666666666,20.516666666666666,0.45972754314286046
M_Polyglottos_GL53_06_AR_RPK,2006-05-04,May,32.55,9.380952380952381,295.9916666666667,20.0,32.522351961790584,29.984761904761903,26.269316048154355,25.942889064405872,25.84154738604267,0.0,58.10021954789398,23.28893776765872,24.923777307963377,24.119081151406753,24.39613405973874,13.671363907410438,2006-05-04 06:28:00,2006-05-04 20:36:00,2006-05-04 20:36:00,6.466666666666667,20.6,20.6,0.4520885658398824
M_Polyglottos_GL53_06_AR_RPK,2006-05-05,May,24.533333333333335,8.67741935483871,217.49166666666667,30.0,31.374358522948498,29.33612903225806,24.92640879671658,24.58718130903131,24.646183308923856,0.0,70.0328886175553,23.896952489485848,24.14198895672232,23.44801733821736,23.721671767738464,17.10980206213542,2006-05-05 06:25:00,2006-05-05 23:10:00,2006-05-05 23:10:00,6.416666666666667,23.166666666666668,23.166666666666668,0.51111702681744
M_Polyglottos_GL53_06_AR_RPK,2006-05-06,May,18.555555555555557,9.363636363636363,261.3333333333333,9.0,29.9048105718098,28.744545454545456,21.879112762968028,22.96097323888233,23.210499288584195,0.1196850393700786,81.7962988505747,23.416329235382328,23.197001299350344,22.379486656671688,22.62983488255874,18.5785707146427,2006-05-06 05:15:00,2006-05-06 16:59:00,2006-05-06 16:59:00,5.25,16.983333333333334,16.983333333333334,0.15844402277039848
M_Polyglottos_GL57_06,2006-05-12,May,,,208.98333333333332,0.0,,,,,19.211085526315788,0.0,82.37125,22.47775000000002,12.368750000000023,13.012750000000022,15.015000000000025,10.778500000000024,,,2006-05-12 20:31:00,,,20.516666666666666,0.0
M_Polyglottos_GL57_06,2006-05-13,May,16.352941176470587,7.885714285714286,303.9916666666667,34.0,31.805173324861972,27.25657142857143,26.52658270067487,26.36380306341651,26.260965792049376,0.0,42.29710093896715,23.38539084507045,23.867634976525842,22.816178403755902,23.15874061032866,8.522604460093918,2006-05-13 06:38:00,2006-05-13 20:30:00,2006-05-13 20:30:00,6.633333333333333,20.5,20.5,0.38611558004143565
M_Polyglottos_GL57_06,2006-05-14,May,23.03846153846154,9.11111111111111,297.4916666666667,26.0,32.7419405928023,27.543333333333333,28.065440223289702,27.713007485313046,27.641173742400323,0.0,48.99074883449883,23.73101794871797,25.822213053613087,24.98111340326343,25.172805944055973,12.536702447552473,2006-05-14 06:29:00,2006-05-14 20:34:00,2006-05-14 20:34:00,6.483333333333333,20.566666666666666,20.566666666666666,0.4159770367712589
M_Polyglottos_GL57_06,2006-05-15,May,18.7,9.193548387096774,296.9916666666667,30.0,32.68747383848629,27.546129032258065,27.34661260711554,27.12291445203542,27.05174865149058,0.0,61.20209441416758,24.154370489492464,25.91529517456349,25.011629490653895,25.212460764168103,16.4691776110069,2006-05-15 06:22:00,2006-05-15 20:28:00,2006-05-15 20:28:00,6.366666666666666,20.466666666666665,20.466666666666665,0.3895878424518802
M_Polyglottos_GL57_06,2006-05-16,May,16.58823529411765,7.3428571428571425,309.4916666666667,34.0,29.15849652771157,23.298000000000002,20.18866685510609,20.141453646307006,20.12982918669476,0.0,57.406478709656305,22.95345602067693,19.371091508400017,18.31528946033929,18.775111318316423,9.785425152541283,2006-05-16 06:42:00,2006-05-16 20:23:00,2006-05-16 20:23:00,6.7,20.383333333333333,20.383333333333333,0.39167119989814697
