Nest_ID,Día,Month_Nest,Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 14:52:00,2006-07-11 14:57:00,5.0,35.03,33.02
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 14:57:00,2006-07-11 15:06:00,9.0,36.21900000000001,33.38399999999999
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 15:06:00,2006-07-11 15:12:00,6.0,34.83,33.47
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 15:12:00,2006-07-11 15:28:00,16.0,35.61882352941176,33.572941176470586
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 15:28:00,2006-07-11 15:32:00,4.0,34.83,33.484
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 15:32:00,2006-07-11 16:00:00,28.0,35.82241379310345,32.93551724137931
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 16:00:00,2006-07-11 16:05:00,5.0,31.51,30.37
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 16:05:00,2006-07-11 16:47:00,42.0,33.57255813953488,29.48953488372093
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 16:47:00,2006-07-11 16:53:00,6.0,30.0,27.85714285714286
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 16:53:00,2006-07-11 17:14:00,21.0,32.98227272727272,28.14636363636363
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 17:14:00,2006-07-11 17:23:00,9.0,29.81,29.086
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 17:23:00,2006-07-11 17:40:00,17.0,33.23722222222222,29.50111111111111
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 17:40:00,2006-07-11 17:48:00,8.0,30.75,29.87111111111111
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 17:48:00,2006-07-11 17:59:00,11.0,33.38666666666668,29.468333333333334
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 17:59:00,2006-07-11 18:17:00,18.0,30.56,29.879473684210527
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 18:17:00,2006-07-11 18:34:00,17.0,34.217777777777776,29.72555555555556
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 18:34:00,2006-07-11 18:43:00,9.0,30.56,29.772
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 18:43:00,2006-07-11 19:01:00,18.0,34.004210526315795,30.02684210526316
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 19:01:00,2006-07-11 19:15:00,14.0,30.18,29.574666666666666
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 19:15:00,2006-07-11 19:26:00,11.0,32.71999999999999,29.424166666666668
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 19:26:00,2006-07-11 19:36:00,10.0,29.81,29.233636363636364
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 19:36:00,2006-07-11 19:52:00,16.0,32.43705882352941,29.002352941176472
