"Plot Title: GL32_07"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 574445)","H08 Temp., °C (LGR S/N: 574445)","H08 Temp., °C (LGR S/N: 574445)"
205,06/24/07 01:24:00 AM,30.56,-69.16,25.44
206,06/24/07 01:25:00 AM,30.56,-69.16,25.44
207,06/24/07 01:26:00 AM,30.56,-69.16,25.44
208,06/24/07 01:27:00 AM,30.56,-69.16,25.44
209,06/24/07 01:28:00 AM,30.37,-69.16,25.44
210,06/24/07 01:29:00 AM,30.37,-69.16,25.44
211,06/24/07 01:30:00 AM,30.18,-69.16,25.44
212,06/24/07 01:31:00 AM,30.18,-69.16,25.27
213,06/24/07 01:32:00 AM,30.18,-69.16,25.27
214,06/24/07 01:33:00 AM,30.18,-69.16,25.27
215,06/24/07 01:34:00 AM,30.18,-69.16,25.27
216,06/24/07 01:35:00 AM,30.18,-69.16,25.27
217,06/24/07 01:36:00 AM,30.18,-69.16,25.27
218,06/24/07 01:37:00 AM,30.18,-69.16,25.27
219,06/24/07 01:38:00 AM,30.18,-69.16,25.27
220,06/24/07 01:39:00 AM,30.00,-69.16,25.27
221,06/24/07 01:40:00 AM,30.00,-69.16,25.27
222,06/24/07 01:41:00 AM,30.00,-69.16,25.09
223,06/24/07 01:42:00 AM,30.00,-69.16,25.09
224,06/24/07 01:43:00 AM,30.00,-69.16,25.27
225,06/24/07 01:44:00 AM,30.00,-69.16,25.27
226,06/24/07 01:45:00 AM,30.00,-69.16,25.27
227,06/24/07 01:46:00 AM,30.00,-69.16,25.27
228,06/24/07 01:47:00 AM,30.18,-69.16,25.27
229,06/24/07 01:48:00 AM,30.18,-69.16,25.27
230,06/24/07 01:49:00 AM,30.18,-69.16,25.27
231,06/24/07 01:50:00 AM,30.18,-69.16,25.27
232,06/24/07 01:51:00 AM,30.18,-69.16,25.27
233,06/24/07 01:52:00 AM,30.18,-69.16,25.27
234,06/24/07 01:53:00 AM,30.18,-69.16,25.27
235,06/24/07 01:54:00 AM,30.18,-69.16,25.27
