Temp @ 60cm (C)_avg,Day_of_Year,log_pred,pred_minutes
20.180301507537695,113.0,2.08934423410124,8.079615090639658
20.37512562814071,113.0,2.0901138890202358,8.085835999807344
20.569949748743724,113.0,2.0908835439392313,8.092061698771376
20.76477386934674,113.0,2.091653198858227,8.098292191219672
20.959597989949756,113.0,2.0924228537772227,8.104527480842973
21.15442211055277,113.0,2.093192508696218,8.110767571334872
21.349246231155785,113.0,2.093962163615214,8.11701246639181
21.5440703517588,113.0,2.0947318185342096,8.123262169713056
21.738894472361814,113.0,2.095501473453205,8.129516685000747
21.93371859296483,113.0,2.096271128372201,8.135776015959863
22.128542713567846,113.0,2.0970407832911966,8.142040166298228
22.323366834170862,113.0,2.0978104382101925,8.148309139726539
22.518190954773875,113.0,2.098580093129188,8.15458293995833
22.71301507537689,113.0,2.0993497480481835,8.160861570710008
22.907839195979907,113.0,2.1001194029671795,8.167145035700841
23.10266331658292,113.0,2.100889057886175,8.173433338652952
23.297487437185936,113.0,2.101658712805171,8.17972648329134
23.492311557788952,113.0,2.1024283677241664,8.18602447334386
23.687135678391964,113.0,2.103198022643162,8.192327312541249
23.88195979899498,113.0,2.103967677562158,8.198635004617115
24.076783919597997,113.0,2.1047373324811534,8.20494755330793
24.27160804020101,113.0,2.1055069874001493,8.211264962353058
24.466432160804025,113.0,2.106276642319145,8.217587235494726
24.66125628140704,113.0,2.1070462972381403,8.223914376478056
24.856080402010058,113.0,2.1078159521571362,8.230246389051052
25.05090452261307,113.0,2.1085856070761317,8.236583276964593
25.245728643216086,113.0,2.1093552619951272,8.242925043972456
25.440552763819102,113.0,2.110124916914123,8.249271693831309
25.635376884422115,113.0,2.1108945718331187,8.255623230300703
25.83020100502513,113.0,2.1116642267521146,8.261979657143096
26.025025125628147,113.0,2.11243388167111,8.268340978123828
26.21984924623116,113.0,2.1132035365901056,8.274707197011152
26.414673366834176,113.0,2.1139731915091016,8.281078317576219
26.609497487437192,113.0,2.114742846428097,8.287454343593076
26.804321608040205,113.0,2.1155125013470926,8.293835278838683
26.99914572864322,113.0,2.1162821562660885,8.300221127092913
27.193969849246237,113.0,2.117051811185084,8.306611892138532
27.38879396984925,113.0,2.11782146610408,8.31300757776124
27.583618090452266,113.0,2.1185911210230755,8.319408187749632
27.77844221105528,113.0,2.119360775942071,8.325813725895234
27.973266331658294,113.0,2.120130430861067,8.332224195992486
28.16809045226131,113.0,2.1209000857800624,8.338639601838748
28.362914572864327,113.0,2.1216697406990583,8.345059947234311
28.557738693467343,113.0,2.122439395618054,8.35148523598238
28.752562814070355,113.0,2.1232090505370493,8.357915471889099
28.94738693467337,113.0,2.1239787054560453,8.36435065876354
29.142211055276388,113.0,2.124748360375041,8.3707908004177
29.3370351758794,113.0,2.1255180152940363,8.377235900666522
29.531859296482416,113.0,2.126287670213032,8.383685963327887
29.726683417085432,113.0,2.1270573251320277,8.390140992222598
29.921507537688445,113.0,2.1278269800510237,8.396600991174425
30.11633165829146,113.0,2.128596634970019,8.403065964010061
30.311155778894477,113.0,2.1293662898890147,8.409535914559154
30.50597989949749,113.0,2.1301359448080106,8.416010846654308
30.700804020100506,113.0,2.130905599727006,8.422490764131059
30.895628140703522,113.0,2.131675254646002,8.428975670827919
31.090452261306538,113.0,2.1324449095649975,8.435465570586334
31.285276381909554,113.0,2.133214564483993,8.441960467250722
31.480100502512563,113.0,2.133984219402989,8.44846036466846
31.67492462311558,113.0,2.1347538743219845,8.454965266689875
31.869748743718596,113.0,2.13552352924098,8.461475177168275
32.06457286432161,113.0,2.136293184159976,8.467990099959929
32.25939698492463,113.0,2.1370628390789714,8.474510038924064
32.454221105527644,113.0,2.1378324939979674,8.4810349979229
32.64904522613065,113.0,2.138602148916963,8.487564980821606
32.84386934673367,113.0,2.1393718038359584,8.494099991488348
33.038693467336685,113.0,2.1401414587549543,8.500640033794262
33.2335175879397,113.0,2.14091111367395,8.50718511161346
33.42834170854272,113.0,2.1416807685929458,8.513735228823048
33.623165829145734,113.0,2.1424504235119413,8.520290389303101
33.81798994974875,113.0,2.1432200784309368,8.526850596936697
34.01281407035176,113.0,2.1439897333499327,8.533415855609901
34.207638190954775,113.0,2.144759388268928,8.53998616921176
34.40246231155779,113.0,2.1455290431879237,8.546561541634325
34.59728643216081,113.0,2.1462986981069196,8.553141976772645
34.79211055276382,113.0,2.147068353025915,8.559727478524756
34.98693467336684,113.0,2.147838007944911,8.566318050791713
35.18175879396985,113.0,2.1486076628639066,8.572913697477555
35.376582914572865,113.0,2.149377317782902,8.579514422489341
35.57140703517588,113.0,2.150146972701898,8.586120229737139
35.7662311557789,113.0,2.1509166276208935,8.592731123134012
